variable,missing_count,missing_rate_percent
COMMONAREA_MEDI,214865,69.872
COMMONAREA_MODE,214865,69.872
COMMONAREA_AVG,214865,69.872
NONLIVINGAPARTMENTS_MODE,213514,69.433
NONLIVINGAPARTMENTS_MEDI,213514,69.433
NONLIVINGAPARTMENTS_AVG,213514,69.433
FONDKAPREMONT_MODE,210295,68.386
LIVINGAPARTMENTS_AVG,210199,68.355
LIVINGAPARTMENTS_MEDI,210199,68.355
LIVINGAPARTMENTS_MODE,210199,68.355
FLOORSMIN_MEDI,208642,67.849
FLOORSMIN_MODE,208642,67.849
FLOORSMIN_AVG,208642,67.849
YEARS_BUILD_MODE,204488,66.498
YEARS_BUILD_MEDI,204488,66.498
YEARS_BUILD_AVG,204488,66.498
OWN_CAR_AGE,202929,65.991
LANDAREA_AVG,182590,59.377
LANDAREA_MEDI,182590,59.377
LANDAREA_MODE,182590,59.377
BASEMENTAREA_MODE,179943,58.516
BASEMENTAREA_MEDI,179943,58.516
BASEMENTAREA_AVG,179943,58.516
EXT_SOURCE_1,173378,56.381
NONLIVINGAREA_MEDI,169682,55.179
NONLIVINGAREA_AVG,169682,55.179
NONLIVINGAREA_MODE,169682,55.179
ELEVATORS_MEDI,163891,53.296
ELEVATORS_MODE,163891,53.296
ELEVATORS_AVG,163891,53.296
WALLSMATERIAL_MODE,156341,50.841
APARTMENTS_AVG,156061,50.75
APARTMENTS_MEDI,156061,50.75
APARTMENTS_MODE,156061,50.75
ENTRANCES_MODE,154828,50.349
ENTRANCES_MEDI,154828,50.349
ENTRANCES_AVG,154828,50.349
LIVINGAREA_AVG,154350,50.193
LIVINGAREA_MODE,154350,50.193
LIVINGAREA_MEDI,154350,50.193
HOUSETYPE_MODE,154297,50.176
FLOORSMAX_AVG,153020,49.761
FLOORSMAX_MEDI,153020,49.761
FLOORSMAX_MODE,153020,49.761
YEARS_BEGINEXPLUATATION_MODE,150007,48.781
YEARS_BEGINEXPLUATATION_MEDI,150007,48.781
YEARS_BEGINEXPLUATATION_AVG,150007,48.781
TOTALAREA_MODE,148431,48.269
EMERGENCYSTATE_MODE,145755,47.398
OCCUPATION_TYPE,96391,31.346
EXT_SOURCE_3,60965,19.825
AMT_REQ_CREDIT_BUREAU_WEEK,41519,13.502
AMT_REQ_CREDIT_BUREAU_MON,41519,13.502
AMT_REQ_CREDIT_BUREAU_HOUR,41519,13.502
AMT_REQ_CREDIT_BUREAU_YEAR,41519,13.502
AMT_REQ_CREDIT_BUREAU_QRT,41519,13.502
AMT_REQ_CREDIT_BUREAU_DAY,41519,13.502
NAME_TYPE_SUITE,1292,0.42
DEF_30_CNT_SOCIAL_CIRCLE,1021,0.332
DEF_60_CNT_SOCIAL_CIRCLE,1021,0.332
OBS_30_CNT_SOCIAL_CIRCLE,1021,0.332
OBS_60_CNT_SOCIAL_CIRCLE,1021,0.332
EXT_SOURCE_2,660,0.215
AMT_GOODS_PRICE,278,0.09
AMT_ANNUITY,12,0.004
CNT_FAM_MEMBERS,2,0.001
DAYS_LAST_PHONE_CHANGE,1,0.0
